withdrawal_amount,channel_deviation_score,velocity_10m,velocity_24h,distance_from_last_terminal_km,is_off_hours,failed_auth_attempts,amount_to_avg_ratio,pattern_name,is_fraud
2200.0,0.0081,0,0,5.85,0,0,0.69,Normal Baseline Cash Withdrawal,0
2000.0,0.0032,0,2,0.87,0,0,0.61,Normal Baseline Cash Withdrawal,0
1300.0,0.0053,0,2,3.24,0,0,0.38,Normal Baseline Cash Withdrawal,0
2500.0,0.019,0,0,7.07,0,0,0.85,Normal Baseline Cash Withdrawal,0
700.0,0.0808,0,1,0.23,0,0,0.16,Normal Baseline Cash Withdrawal,0
3300.0,0.0372,0,1,3.0,0,0,0.74,Normal Baseline Cash Withdrawal,0
5100.0,0.065,0,3,3.21,0,0,1.67,Normal Baseline Cash Withdrawal,0
3500.0,0.0239,0,1,0.57,0,0,0.89,Normal Baseline Cash Withdrawal,0
13500.0,0.6829,2,11,62.83,1,2,6.0,Nocturnal ATM Cash-Out with PIN Failures,1
2400.0,0.0523,0,1,1.97,0,0,1.16,Normal Baseline Cash Withdrawal,0
1100.0,0.031,0,2,6.92,0,0,0.25,Normal Baseline Cash Withdrawal,0
1600.0,0.0707,0,0,0.33,0,0,0.47,Normal Baseline Cash Withdrawal,0
1200.0,0.0193,0,0,1.07,0,0,0.37,Normal Baseline Cash Withdrawal,0
1400.0,0.0064,0,1,5.18,0,0,0.57,Normal Baseline Cash Withdrawal,0
1200.0,0.0395,0,1,1.07,0,0,0.35,Normal Baseline Cash Withdrawal,0
12500.0,0.017,0,1,1.02,0,0,3.64,Normal Baseline Cash Withdrawal,0
2000.0,0.0775,0,1,0.43,0,0,0.91,Normal Baseline Cash Withdrawal,0
2300.0,0.063,0,0,0.11,0,0,1.14,Normal Baseline Cash Withdrawal,0
2600.0,0.0282,1,3,6.63,0,0,0.63,Normal Baseline Cash Withdrawal,0
2300.0,0.0002,0,1,2.07,0,0,0.52,Normal Baseline Cash Withdrawal,0
6700.0,0.0044,0,0,6.61,0,0,2.07,Normal Baseline Cash Withdrawal,0
2200.0,0.0732,0,1,1.34,0,0,0.78,Normal Baseline Cash Withdrawal,0
500.0,0.0466,0,0,1.9,1,0,0.12,Normal Baseline Cash Withdrawal,0
3800.0,0.0231,0,2,6.79,0,0,1.68,Normal Baseline Cash Withdrawal,0
2100.0,0.018,0,1,0.8,0,0,0.8,Normal Baseline Cash Withdrawal,0
1000.0,0.025,0,1,1.34,0,0,0.24,Normal Baseline Cash Withdrawal,0
5400.0,0.0787,0,1,2.14,0,0,2.1,Normal Baseline Cash Withdrawal,0
2800.0,0.0488,0,2,1.39,0,0,1.4,Normal Baseline Cash Withdrawal,0
3200.0,0.0709,0,0,2.28,0,0,0.92,Normal Baseline Cash Withdrawal,0
1100.0,0.0782,0,0,3.48,0,0,0.25,Normal Baseline Cash Withdrawal,0
6900.0,0.0322,0,1,0.2,0,0,2.11,Normal Baseline Cash Withdrawal,0
2500.0,0.045,0,1,5.63,0,0,0.79,Normal Baseline Cash Withdrawal,0
900.0,0.0483,0,0,2.64,0,0,0.41,Normal Baseline Cash Withdrawal,0
2500.0,0.0495,0,0,0.23,0,0,0.91,Normal Baseline Cash Withdrawal,0
2500.0,0.0498,0,1,5.0,0,0,0.83,Normal Baseline Cash Withdrawal,0
2000.0,0.0386,0,1,0.71,0,0,0.79,Normal Baseline Cash Withdrawal,0
3800.0,0.0195,0,0,1.21,0,0,0.95,Normal Baseline Cash Withdrawal,0
2500.0,0.0587,0,0,0.25,0,0,0.79,Normal Baseline Cash Withdrawal,0
3500.0,0.0572,0,0,0.17,0,0,0.92,Normal Baseline Cash Withdrawal,0
2600.0,0.0219,0,1,1.27,0,0,0.69,Normal Baseline Cash Withdrawal,0
1000.0,0.026,0,0,1.47,1,0,0.32,Normal Baseline Cash Withdrawal,0
1200.0,0.0114,0,0,0.13,0,0,0.29,Normal Baseline Cash Withdrawal,0
1300.0,0.036,0,2,0.55,0,0,0.35,Normal Baseline Cash Withdrawal,0
4000.0,0.0736,0,1,6.75,0,0,0.92,Normal Baseline Cash Withdrawal,0
1400.0,0.0497,0,1,6.96,0,0,0.36,Normal Baseline Cash Withdrawal,0
1600.0,0.0549,0,2,1.0,0,0,0.59,Normal Baseline Cash Withdrawal,0
1000.0,0.0333,0,2,0.76,0,0,0.27,Normal Baseline Cash Withdrawal,0
5900.0,0.016,0,1,0.49,0,0,1.59,Normal Baseline Cash Withdrawal,0
700.0,0.0162,0,0,0.61,0,0,0.16,Normal Baseline Cash Withdrawal,0
3100.0,0.0175,0,0,2.39,0,0,0.75,Normal Baseline Cash Withdrawal,0
1400.0,0.021,0,1,0.36,0,0,0.46,Normal Baseline Cash Withdrawal,0
8000.0,0.0625,0,1,9.07,0,0,3.06,Normal Baseline Cash Withdrawal,0
2600.0,0.007,0,1,3.15,0,0,1.21,Normal Baseline Cash Withdrawal,0
4200.0,0.0277,0,1,3.12,0,0,0.98,Normal Baseline Cash Withdrawal,0
10000.0,0.0861,0,0,9.41,0,0,2.51,Normal Baseline Cash Withdrawal,0
3700.0,0.0103,0,0,0.1,0,0,0.97,Normal Baseline Cash Withdrawal,0
1400.0,0.0205,0,0,2.77,0,0,0.4,Normal Baseline Cash Withdrawal,0
7000.0,0.008,0,0,2.73,0,0,2.29,Normal Baseline Cash Withdrawal,0
8500.0,0.0087,0,2,5.2,0,0,2.0,Normal Baseline Cash Withdrawal,0
2300.0,0.0127,0,1,7.3,0,0,0.57,Normal Baseline Cash Withdrawal,0
1500.0,0.0712,0,2,1.59,0,0,0.54,Normal Baseline Cash Withdrawal,0
5300.0,0.0089,0,2,0.11,0,0,1.33,Normal Baseline Cash Withdrawal,0
9200.0,0.0093,0,3,5.18,0,0,2.38,Normal Baseline Cash Withdrawal,0
3400.0,0.0808,0,0,0.94,0,0,1.04,Normal Baseline Cash Withdrawal,0
6800.0,0.077,0,1,7.81,0,0,1.58,Normal Baseline Cash Withdrawal,0
5100.0,0.0898,0,1,2.02,0,0,1.55,Normal Baseline Cash Withdrawal,0
1600.0,0.0707,0,0,1.2,0,0,0.5,Normal Baseline Cash Withdrawal,0
1100.0,0.0561,0,1,0.26,0,0,0.32,Normal Baseline Cash Withdrawal,0
8900.0,0.0848,0,1,2.7,0,0,4.11,Normal Baseline Cash Withdrawal,0
6200.0,0.0222,0,2,0.59,0,0,1.62,Normal Baseline Cash Withdrawal,0
1400.0,0.0204,0,0,3.02,0,0,0.33,Normal Baseline Cash Withdrawal,0
2000.0,0.0617,0,0,1.77,0,0,0.86,Normal Baseline Cash Withdrawal,0
6500.0,0.0124,0,1,1.11,0,0,2.4,Normal Baseline Cash Withdrawal,0
1800.0,0.0487,0,0,7.23,0,0,0.62,Normal Baseline Cash Withdrawal,0
4100.0,0.0149,0,1,3.55,0,0,1.0,Normal Baseline Cash Withdrawal,0
800.0,0.0702,0,0,3.65,0,0,0.29,Normal Baseline Cash Withdrawal,0
2300.0,0.0612,0,0,14.06,0,0,0.6,Normal Baseline Cash Withdrawal,0
1100.0,0.0788,0,1,10.58,1,0,0.43,Normal Baseline Cash Withdrawal,0
1700.0,0.0738,0,2,0.59,0,0,0.39,Normal Baseline Cash Withdrawal,0
1200.0,0.0489,0,0,0.1,0,0,0.59,Normal Baseline Cash Withdrawal,0
2500.0,0.0339,0,2,0.58,0,0,0.63,Normal Baseline Cash Withdrawal,0
1600.0,0.0142,0,0,0.98,0,0,0.71,Normal Baseline Cash Withdrawal,0
2300.0,0.0433,0,0,1.32,0,0,0.62,Normal Baseline Cash Withdrawal,0
1200.0,0.0423,0,1,9.36,0,0,0.27,Normal Baseline Cash Withdrawal,0
2200.0,0.0435,0,0,10.27,0,0,0.52,Normal Baseline Cash Withdrawal,0
3300.0,0.0896,0,1,1.99,0,0,0.81,Normal Baseline Cash Withdrawal,0
9200.0,0.0357,1,2,0.43,0,0,2.45,Normal Baseline Cash Withdrawal,0
3900.0,0.026,0,0,1.74,0,0,1.45,Normal Baseline Cash Withdrawal,0
2100.0,0.0105,0,0,1.59,0,0,0.48,Normal Baseline Cash Withdrawal,0
3000.0,0.0279,0,1,7.98,0,0,0.85,Normal Baseline Cash Withdrawal,0
2000.0,0.0382,0,0,10.7,0,0,0.82,Normal Baseline Cash Withdrawal,0
3200.0,0.0183,0,0,0.2,0,0,0.88,Normal Baseline Cash Withdrawal,0
1200.0,0.0309,0,0,0.18,0,0,0.27,Normal Baseline Cash Withdrawal,0
4000.0,0.0039,0,1,8.14,1,0,1.37,Normal Baseline Cash Withdrawal,0
1500.0,0.0243,0,1,1.41,0,0,0.38,Normal Baseline Cash Withdrawal,0
1000.0,0.0869,0,2,4.68,0,1,0.41,Normal Baseline Cash Withdrawal,0
1600.0,0.016,0,2,3.42,0,0,0.41,Normal Baseline Cash Withdrawal,0
1300.0,0.0803,0,2,4.09,0,0,0.6,Normal Baseline Cash Withdrawal,0
1900.0,0.0691,0,0,0.47,0,0,0.57,Normal Baseline Cash Withdrawal,0
3700.0,0.0324,0,0,0.52,0,0,1.81,Normal Baseline Cash Withdrawal,0
1900.0,0.0279,0,1,4.76,0,0,0.54,Normal Baseline Cash Withdrawal,0
3600.0,0.0319,0,2,3.89,0,0,1.12,Normal Baseline Cash Withdrawal,0
3900.0,0.062,0,1,1.03,0,0,1.44,Normal Baseline Cash Withdrawal,0
2700.0,0.0038,0,2,13.02,0,0,1.16,Normal Baseline Cash Withdrawal,0
3200.0,0.0122,0,0,2.5,0,0,0.72,Normal Baseline Cash Withdrawal,0
3600.0,0.0327,0,0,7.95,0,0,0.84,Normal Baseline Cash Withdrawal,0
3700.0,0.0217,0,0,0.15,0,0,1.06,Normal Baseline Cash Withdrawal,0
1100.0,0.0143,0,1,1.34,0,0,0.25,Normal Baseline Cash Withdrawal,0
1000.0,0.0026,0,1,2.32,0,0,0.23,Normal Baseline Cash Withdrawal,0
1500.0,0.0793,0,1,0.5,0,0,0.37,Normal Baseline Cash Withdrawal,0
4600.0,0.0711,0,0,0.27,0,0,1.15,Normal Baseline Cash Withdrawal,0
2100.0,0.0101,1,2,1.83,0,0,0.5,Normal Baseline Cash Withdrawal,0
1800.0,0.016,0,0,6.05,0,0,0.81,Normal Baseline Cash Withdrawal,0
1000.0,0.0165,0,0,2.67,0,0,0.26,Normal Baseline Cash Withdrawal,0
3500.0,0.0068,0,0,2.18,0,0,1.16,Normal Baseline Cash Withdrawal,0
3700.0,0.0117,0,2,2.49,0,0,0.91,Normal Baseline Cash Withdrawal,0
7000.0,0.0301,0,1,2.5,0,0,1.57,Normal Baseline Cash Withdrawal,0
2600.0,0.0269,0,1,1.93,0,0,0.68,Normal Baseline Cash Withdrawal,0
1400.0,0.0078,0,0,2.16,0,0,0.46,Normal Baseline Cash Withdrawal,0
700.0,0.0189,0,1,0.64,0,0,0.25,Normal Baseline Cash Withdrawal,0
1600.0,0.0536,0,1,1.22,0,0,0.42,Normal Baseline Cash Withdrawal,0
1400.0,0.0567,0,0,3.22,0,0,0.48,Normal Baseline Cash Withdrawal,0
3500.0,0.0243,0,0,0.1,0,0,1.1,Normal Baseline Cash Withdrawal,0
1300.0,0.074,0,0,6.44,0,0,0.31,Normal Baseline Cash Withdrawal,0
1900.0,0.0595,0,0,5.47,0,0,0.46,Normal Baseline Cash Withdrawal,0
1500.0,0.0541,0,0,0.87,0,0,0.36,Normal Baseline Cash Withdrawal,0
2600.0,0.007,0,1,3.77,0,0,0.59,Normal Baseline Cash Withdrawal,0
3200.0,0.0218,0,0,4.87,0,0,0.9,Normal Baseline Cash Withdrawal,0
1800.0,0.0575,0,4,4.9,0,0,0.62,Normal Baseline Cash Withdrawal,0
1700.0,0.0275,0,2,0.98,0,0,0.47,Normal Baseline Cash Withdrawal,0
1500.0,0.0442,0,2,0.13,0,0,0.54,Normal Baseline Cash Withdrawal,0
2600.0,0.0369,0,1,10.91,0,0,0.67,Normal Baseline Cash Withdrawal,0
1300.0,0.0284,0,1,1.56,0,0,0.29,Normal Baseline Cash Withdrawal,0
6100.0,0.0883,0,2,5.28,0,0,1.52,Normal Baseline Cash Withdrawal,0
5300.0,0.027,0,2,2.8,0,1,1.82,Normal Baseline Cash Withdrawal,0
2100.0,0.0146,0,2,0.3,0,0,1.02,Normal Baseline Cash Withdrawal,0
4700.0,0.0162,0,0,4.13,0,0,1.2,Normal Baseline Cash Withdrawal,0
1300.0,0.0714,0,1,1.01,1,0,0.31,Normal Baseline Cash Withdrawal,0
4600.0,0.012,0,0,4.1,0,0,1.61,Normal Baseline Cash Withdrawal,0
1100.0,0.0594,0,0,0.79,0,0,0.46,Normal Baseline Cash Withdrawal,0
1300.0,0.0329,0,1,0.75,0,0,0.41,Normal Baseline Cash Withdrawal,0
8500.0,0.0202,0,0,0.17,0,0,2.27,Normal Baseline Cash Withdrawal,0
1500.0,0.0088,0,1,4.75,0,0,0.5,Normal Baseline Cash Withdrawal,0
1500.0,0.0432,0,0,1.63,0,0,0.4,Normal Baseline Cash Withdrawal,0
1500.0,0.084,0,0,0.61,0,0,0.5,Normal Baseline Cash Withdrawal,0
700.0,0.0182,0,0,4.78,1,0,0.17,Normal Baseline Cash Withdrawal,0
2800.0,0.0021,0,0,2.17,0,0,1.32,Normal Baseline Cash Withdrawal,0
3100.0,0.03,0,2,4.38,0,0,1.32,Normal Baseline Cash Withdrawal,0
1000.0,0.0732,0,1,0.31,1,0,0.49,Normal Baseline Cash Withdrawal,0
1600.0,0.0777,0,1,2.18,0,0,0.8,Normal Baseline Cash Withdrawal,0
1500.0,0.0873,0,1,6.55,0,0,0.39,Normal Baseline Cash Withdrawal,0
3200.0,0.0598,0,0,6.7,0,0,0.99,Normal Baseline Cash Withdrawal,0
1200.0,0.0349,0,0,5.58,0,0,0.42,Normal Baseline Cash Withdrawal,0
1800.0,0.0542,0,0,1.87,0,0,0.81,Normal Baseline Cash Withdrawal,0
2100.0,0.0598,0,0,11.08,0,0,0.67,Normal Baseline Cash Withdrawal,0
1200.0,0.0752,0,1,0.58,0,0,0.3,Normal Baseline Cash Withdrawal,0
2200.0,0.039,0,1,0.81,0,0,0.85,Normal Baseline Cash Withdrawal,0
900.0,0.0298,0,3,3.49,0,0,0.42,Normal Baseline Cash Withdrawal,0
30500.0,0.9274,5,6,45.82,1,0,17.44,Sudden Unused Channel Exploitation,1
800.0,0.042,0,2,2.66,0,0,0.23,Normal Baseline Cash Withdrawal,0
1100.0,0.0625,0,0,0.37,0,0,0.31,Normal Baseline Cash Withdrawal,0
900.0,0.0857,0,1,0.73,0,0,0.35,Normal Baseline Cash Withdrawal,0
2400.0,0.0747,0,1,12.14,0,0,0.71,Normal Baseline Cash Withdrawal,0
2100.0,0.0818,0,0,4.67,0,0,0.88,Normal Baseline Cash Withdrawal,0
1200.0,0.0027,0,1,10.48,0,0,0.27,Normal Baseline Cash Withdrawal,0
800.0,0.0213,0,2,2.57,0,0,0.2,Normal Baseline Cash Withdrawal,0
5300.0,0.0209,1,1,7.04,0,0,1.41,Normal Baseline Cash Withdrawal,0
500.0,0.0235,0,2,0.27,0,0,0.15,Normal Baseline Cash Withdrawal,0
800.0,0.0276,0,0,5.64,0,0,0.39,Normal Baseline Cash Withdrawal,0
1100.0,0.0021,0,0,4.32,0,0,0.25,Normal Baseline Cash Withdrawal,0
3600.0,0.0472,0,0,3.5,0,1,1.51,Normal Baseline Cash Withdrawal,0
2300.0,0.0502,0,0,4.57,0,0,0.77,Normal Baseline Cash Withdrawal,0
2600.0,0.0018,0,3,0.26,0,0,1.17,Normal Baseline Cash Withdrawal,0
900.0,0.026,0,0,0.51,0,0,0.38,Normal Baseline Cash Withdrawal,0
1500.0,0.0627,0,1,13.19,0,0,0.49,Normal Baseline Cash Withdrawal,0
1300.0,0.004,0,0,0.72,0,0,0.39,Normal Baseline Cash Withdrawal,0
900.0,0.0632,0,0,1.4,0,0,0.21,Normal Baseline Cash Withdrawal,0
1800.0,0.0063,0,0,5.1,0,0,0.71,Normal Baseline Cash Withdrawal,0
3600.0,0.073,0,1,5.6,0,0,1.78,Normal Baseline Cash Withdrawal,0
6800.0,0.077,0,1,2.14,0,0,3.37,Normal Baseline Cash Withdrawal,0
2200.0,0.0642,0,0,0.52,0,0,0.61,Normal Baseline Cash Withdrawal,0
3000.0,0.0779,0,0,2.97,0,0,0.91,Normal Baseline Cash Withdrawal,0
2500.0,0.0499,0,1,4.49,0,0,0.56,Normal Baseline Cash Withdrawal,0
19000.0,0.3548,7,16,35.63,1,2,5.68,Nocturnal ATM Cash-Out with PIN Failures,1
1000.0,0.0757,0,0,0.55,0,0,0.42,Normal Baseline Cash Withdrawal,0
1500.0,0.0669,0,1,2.41,0,0,0.34,Normal Baseline Cash Withdrawal,0
1500.0,0.0525,0,0,3.07,0,0,0.39,Normal Baseline Cash Withdrawal,0
1800.0,0.0533,0,0,0.26,0,0,0.45,Normal Baseline Cash Withdrawal,0
2000.0,0.0788,0,0,7.82,0,0,0.47,Normal Baseline Cash Withdrawal,0
5700.0,0.0812,0,0,6.14,0,0,1.79,Normal Baseline Cash Withdrawal,0
3900.0,0.0712,0,0,2.5,1,0,1.06,Normal Baseline Cash Withdrawal,0
1900.0,0.016,0,1,3.6,0,0,0.5,Normal Baseline Cash Withdrawal,0
9300.0,0.0006,0,0,2.41,0,0,2.98,Normal Baseline Cash Withdrawal,0
2200.0,0.0131,0,1,2.94,0,0,0.63,Normal Baseline Cash Withdrawal,0
2700.0,0.0568,0,0,1.49,0,0,1.33,Normal Baseline Cash Withdrawal,0
2900.0,0.0198,0,3,6.56,0,0,1.13,Normal Baseline Cash Withdrawal,0
2000.0,0.015,0,3,4.57,0,0,0.84,Normal Baseline Cash Withdrawal,0
800.0,0.012,0,0,0.44,0,1,0.26,Normal Baseline Cash Withdrawal,0
1400.0,0.0177,0,1,3.05,0,1,0.37,Normal Baseline Cash Withdrawal,0
7300.0,0.0163,0,0,1.41,0,0,2.81,Normal Baseline Cash Withdrawal,0
4200.0,0.0045,0,3,0.48,0,0,1.29,Normal Baseline Cash Withdrawal,0
2300.0,0.0216,0,1,1.4,0,0,0.69,Normal Baseline Cash Withdrawal,0
5700.0,0.0307,0,2,8.78,0,0,1.75,Normal Baseline Cash Withdrawal,0
1600.0,0.001,0,0,1.42,0,0,0.5,Normal Baseline Cash Withdrawal,0
1200.0,0.0326,0,0,3.1,0,0,0.45,Normal Baseline Cash Withdrawal,0
27500.0,0.9352,2,8,23.54,0,1,13.44,Sudden Unused Channel Exploitation,1
2700.0,0.0245,1,1,4.04,0,0,1.25,Normal Baseline Cash Withdrawal,0
3200.0,0.058,0,0,3.62,0,0,1.08,Normal Baseline Cash Withdrawal,0
2200.0,0.0811,0,0,2.38,0,0,1.1,Normal Baseline Cash Withdrawal,0
2400.0,0.0191,0,2,8.03,0,0,0.55,Normal Baseline Cash Withdrawal,0
2100.0,0.0111,0,0,6.57,0,0,0.83,Normal Baseline Cash Withdrawal,0
1200.0,0.0473,1,1,7.28,0,0,0.57,Normal Baseline Cash Withdrawal,0
7300.0,0.0059,0,0,1.3,0,0,3.04,Normal Baseline Cash Withdrawal,0
2400.0,0.0126,0,0,14.13,0,0,0.6,Normal Baseline Cash Withdrawal,0
1400.0,0.0228,0,0,2.14,0,0,0.47,Normal Baseline Cash Withdrawal,0
1500.0,0.0311,0,0,0.42,0,0,0.39,Normal Baseline Cash Withdrawal,0
1600.0,0.0109,0,0,2.76,0,0,0.42,Normal Baseline Cash Withdrawal,0
1300.0,0.0161,0,2,0.16,0,0,0.45,Normal Baseline Cash Withdrawal,0
800.0,0.0388,0,0,0.18,0,0,0.18,Normal Baseline Cash Withdrawal,0
1500.0,0.0389,0,0,2.76,0,1,0.45,Normal Baseline Cash Withdrawal,0
5400.0,0.001,0,0,4.35,0,0,2.06,Normal Baseline Cash Withdrawal,0
1400.0,0.0166,0,2,5.03,0,0,0.62,Normal Baseline Cash Withdrawal,0
1000.0,0.0614,0,0,7.12,0,0,0.29,Normal Baseline Cash Withdrawal,0
1300.0,0.0447,0,1,12.42,0,0,0.43,Normal Baseline Cash Withdrawal,0
1500.0,0.0005,0,2,3.72,0,0,0.56,Normal Baseline Cash Withdrawal,0
1500.0,0.0473,0,0,4.82,0,0,0.39,Normal Baseline Cash Withdrawal,0
1900.0,0.0217,0,2,1.36,0,0,0.65,Normal Baseline Cash Withdrawal,0
1600.0,0.0863,0,0,3.66,0,0,0.48,Normal Baseline Cash Withdrawal,0
1600.0,0.0276,0,0,6.02,0,0,0.36,Normal Baseline Cash Withdrawal,0
2500.0,0.0387,0,2,8.16,0,0,1.05,Normal Baseline Cash Withdrawal,0
2600.0,0.0555,0,0,1.53,0,0,0.72,Normal Baseline Cash Withdrawal,0
1300.0,0.0094,0,1,0.61,0,0,0.53,Normal Baseline Cash Withdrawal,0
1500.0,0.0723,0,1,0.81,0,0,0.37,Normal Baseline Cash Withdrawal,0
1600.0,0.0222,0,3,2.31,0,0,0.51,Normal Baseline Cash Withdrawal,0
1300.0,0.0707,0,0,1.05,0,0,0.53,Normal Baseline Cash Withdrawal,0
12800.0,0.0033,0,0,3.96,0,0,2.98,Normal Baseline Cash Withdrawal,0
500.0,0.0265,0,0,2.15,0,0,0.15,Normal Baseline Cash Withdrawal,0
7700.0,0.0197,0,0,2.17,0,0,2.25,Normal Baseline Cash Withdrawal,0
2000.0,0.0345,0,0,0.14,0,0,0.71,Normal Baseline Cash Withdrawal,0
2500.0,0.0844,0,1,2.8,0,0,0.85,Normal Baseline Cash Withdrawal,0
1500.0,0.0319,0,2,2.79,0,0,0.65,Normal Baseline Cash Withdrawal,0
1600.0,0.0288,0,1,5.76,0,0,0.5,Normal Baseline Cash Withdrawal,0
1100.0,0.0482,0,0,4.59,0,0,0.43,Normal Baseline Cash Withdrawal,0
800.0,0.0197,0,1,0.21,0,0,0.32,Normal Baseline Cash Withdrawal,0
2200.0,0.0006,0,3,1.6,0,0,0.58,Normal Baseline Cash Withdrawal,0
9300.0,0.0665,0,2,14.6,1,0,4.53,Normal Baseline Cash Withdrawal,0
1200.0,0.0594,0,2,0.66,0,0,0.52,Normal Baseline Cash Withdrawal,0
1600.0,0.0488,0,0,16.73,0,0,0.45,Normal Baseline Cash Withdrawal,0
2100.0,0.0598,0,0,8.84,0,0,0.98,Normal Baseline Cash Withdrawal,0
1300.0,0.044,0,1,4.1,0,0,0.3,Normal Baseline Cash Withdrawal,0
2000.0,0.0319,0,0,1.66,0,0,0.57,Normal Baseline Cash Withdrawal,0
3200.0,0.0262,0,1,1.16,0,0,0.76,Normal Baseline Cash Withdrawal,0
1700.0,0.0268,1,2,1.82,0,0,0.42,Normal Baseline Cash Withdrawal,0
800.0,0.0362,0,0,2.82,0,0,0.21,Normal Baseline Cash Withdrawal,0
9200.0,0.0657,0,0,1.78,0,0,3.5,Normal Baseline Cash Withdrawal,0
2200.0,0.0128,0,0,0.91,0,0,0.95,Normal Baseline Cash Withdrawal,0
1700.0,0.0204,0,3,5.73,0,0,0.48,Normal Baseline Cash Withdrawal,0
3900.0,0.0765,0,0,8.3,0,0,1.1,Normal Baseline Cash Withdrawal,0
5100.0,0.0203,0,0,0.43,0,0,1.17,Normal Baseline Cash Withdrawal,0
5400.0,0.081,0,0,7.79,0,0,1.88,Normal Baseline Cash Withdrawal,0
1300.0,0.0555,0,0,11.73,0,0,0.3,Normal Baseline Cash Withdrawal,0
2800.0,0.0265,0,0,0.16,0,0,0.66,Normal Baseline Cash Withdrawal,0
2000.0,0.0013,0,1,0.42,0,0,0.65,Normal Baseline Cash Withdrawal,0
5700.0,0.0133,0,0,2.13,0,0,1.28,Normal Baseline Cash Withdrawal,0
1100.0,0.0387,0,2,6.61,0,0,0.25,Normal Baseline Cash Withdrawal,0
1500.0,0.0845,0,0,0.22,0,0,0.52,Normal Baseline Cash Withdrawal,0
1200.0,0.0384,0,1,2.42,0,0,0.43,Normal Baseline Cash Withdrawal,0
8100.0,0.05,0,1,1.08,0,0,2.88,Normal Baseline Cash Withdrawal,0
10400.0,0.0371,0,3,4.78,0,0,3.85,Normal Baseline Cash Withdrawal,0
1100.0,0.0147,0,1,1.56,0,0,0.28,Normal Baseline Cash Withdrawal,0
2400.0,0.049,0,0,0.95,0,0,0.83,Normal Baseline Cash Withdrawal,0
1400.0,0.0007,0,1,3.84,0,0,0.34,Normal Baseline Cash Withdrawal,0
1300.0,0.0074,0,0,1.44,0,0,0.37,Normal Baseline Cash Withdrawal,0
3500.0,0.0574,0,1,13.57,0,0,1.32,Normal Baseline Cash Withdrawal,0
2200.0,0.0851,0,1,1.66,0,0,0.88,Normal Baseline Cash Withdrawal,0
1500.0,0.0538,0,0,3.22,0,0,0.66,Normal Baseline Cash Withdrawal,0
1400.0,0.0198,0,1,2.59,0,0,0.4,Normal Baseline Cash Withdrawal,0
1800.0,0.0814,0,0,0.83,0,0,0.78,Normal Baseline Cash Withdrawal,0
1000.0,0.043,0,0,1.9,0,0,0.25,Normal Baseline Cash Withdrawal,0
800.0,0.0329,0,0,0.26,0,0,0.4,Normal Baseline Cash Withdrawal,0
