amount,velocity_10m,velocity_24h,distance_from_last_km,is_new_device,pattern_name,is_fraud
437.0,0,1,10.85,0,Normal Legitimate Activity,0
729.54,0,3,0.64,0,Normal Legitimate Activity,0
99000.0,3,11,1.51,1,T0_12: Merge-Split,1
214.53,0,0,3.58,0,Normal Legitimate Activity,0
9145.46,0,2,2.19,0,Normal Legitimate Activity,0
2750.78,0,3,14.78,0,Normal Legitimate Activity,0
1384.87,0,1,0.34,0,Normal Legitimate Activity,0
2253.14,0,2,3.75,0,Normal Legitimate Activity,0
538.91,0,0,2.87,0,Normal Legitimate Activity,0
3451.52,0,2,0.47,0,Normal Legitimate Activity,0
719.62,0,1,0.43,0,Normal Legitimate Activity,0
424.86,0,6,6.39,0,Normal Legitimate Activity,0
1760.1,0,0,1.81,0,Normal Legitimate Activity,0
1196.66,0,2,3.09,0,Normal Legitimate Activity,0
551.18,1,3,1.84,0,Normal Legitimate Activity,0
399.61,0,2,0.93,0,Normal Legitimate Activity,0
459.21,0,0,0.55,0,Normal Legitimate Activity,0
3084.69,0,3,1.92,0,Normal Legitimate Activity,0
628.33,0,2,2.35,0,Normal Legitimate Activity,0
713.0,0,1,6.5,0,Normal Legitimate Activity,0
2731.0,0,2,3.03,0,Normal Legitimate Activity,0
2319.42,0,2,6.74,0,Normal Legitimate Activity,0
1640.51,0,1,6.57,0,Normal Legitimate Activity,0
1805.3,0,1,0.15,0,Normal Legitimate Activity,0
1753.2,0,2,1.14,0,Normal Legitimate Activity,0
1026.32,0,2,3.13,0,Normal Legitimate Activity,0
5980.44,0,1,4.74,0,Normal Legitimate Activity,0
2241.13,0,1,4.83,0,Normal Legitimate Activity,0
2052.97,0,2,0.62,0,Normal Legitimate Activity,0
561.54,0,0,0.29,0,Normal Legitimate Activity,0
593.1,1,2,9.79,0,Normal Legitimate Activity,0
1672.71,0,0,0.53,0,Normal Legitimate Activity,0
995.39,0,2,10.51,0,Normal Legitimate Activity,0
524.28,0,2,0.39,0,Normal Legitimate Activity,0
27152.84,6,25,5.29,1,T0_33: Short-Lived Activity,1
1970.21,0,2,4.13,0,Normal Legitimate Activity,0
1020440.94,3,12,200.21,1,T0_31: High Pass-Through,1
981.33,0,0,15.26,0,Normal Legitimate Activity,0
447.81,0,1,7.29,0,Normal Legitimate Activity,0
5669.99,0,2,3.67,0,Normal Legitimate Activity,0
2772.9,0,2,4.53,0,Normal Legitimate Activity,0
2282.99,0,4,7.66,0,Normal Legitimate Activity,0
2567.18,0,2,4.09,0,Normal Legitimate Activity,0
328.83,0,3,1.69,0,Normal Legitimate Activity,0
1975.64,0,1,2.27,0,Normal Legitimate Activity,0
3210.29,0,0,1.4,0,Normal Legitimate Activity,0
3210.49,0,2,0.05,0,Normal Legitimate Activity,0
1515.1,0,0,3.27,0,Normal Legitimate Activity,0
181051.37,17,43,33.94,1,T0_2: Rapid In-Out,1
1506.94,0,4,2.32,0,Normal Legitimate Activity,0
1886.55,0,3,0.61,0,Normal Legitimate Activity,0
841.43,0,1,2.48,1,Normal Legitimate Activity,0
5037.34,0,0,0.44,0,Normal Legitimate Activity,0
3786.5,0,1,2.05,0,Normal Legitimate Activity,0
1081.61,0,1,6.61,0,Normal Legitimate Activity,0
259.96,0,3,19.96,0,Normal Legitimate Activity,0
5022.59,0,1,3.69,0,Normal Legitimate Activity,0
605.61,0,2,12.11,0,Normal Legitimate Activity,0
1407.47,0,3,15.01,0,Normal Legitimate Activity,0
1080.59,0,1,9.45,0,Normal Legitimate Activity,0
493217.86,4,18,16.35,1,T0_109: Transaction Amount Repetition,1
686.25,0,2,2.63,0,Normal Legitimate Activity,0
1652.64,0,1,0.93,1,Normal Legitimate Activity,0
503.89,0,2,7.26,0,Normal Legitimate Activity,0
1372.69,0,2,7.86,0,Normal Legitimate Activity,0
689.82,0,2,0.0,0,Normal Legitimate Activity,0
378.58,0,2,18.38,0,Normal Legitimate Activity,0
6595.09,0,5,1.71,0,Normal Legitimate Activity,0
2979.76,0,1,14.14,0,Normal Legitimate Activity,0
3473.2,0,1,5.91,0,Normal Legitimate Activity,0
4556.65,0,4,12.99,0,Normal Legitimate Activity,0
10470.5,0,2,0.76,0,Normal Legitimate Activity,0
5972.15,4,14,181.59,0,T0_71: Unusual Refund Pattern,1
1407.97,0,2,2.17,0,Normal Legitimate Activity,0
1561.05,0,3,7.11,0,Normal Legitimate Activity,0
2694.27,0,1,3.21,0,Normal Legitimate Activity,0
497.41,0,2,3.48,0,Normal Legitimate Activity,0
248.45,0,0,1.43,0,Normal Legitimate Activity,0
226.31,1,2,4.39,0,Normal Legitimate Activity,0
372.09,0,0,6.53,0,Normal Legitimate Activity,0
2466.27,2,5,0.03,0,Normal Legitimate Activity,0
6483.0,0,4,35.5,0,Normal Legitimate Activity,0
5331.59,0,2,1.07,0,Normal Legitimate Activity,0
977.95,1,3,14.25,0,Normal Legitimate Activity,0
1709.25,0,1,0.91,0,Normal Legitimate Activity,0
1078.27,0,0,6.67,0,Normal Legitimate Activity,0
940.53,1,4,0.74,0,Normal Legitimate Activity,0
1405.45,0,0,6.68,0,Normal Legitimate Activity,0
250.27,0,3,17.91,0,Normal Legitimate Activity,0
4420.46,0,1,2.68,0,Normal Legitimate Activity,0
380.95,0,2,0.34,0,Normal Legitimate Activity,0
6555.5,0,2,2.2,0,Normal Legitimate Activity,0
1710.53,1,1,8.57,0,Normal Legitimate Activity,0
2205.47,0,4,0.22,0,Normal Legitimate Activity,0
1239.69,0,2,0.88,0,Normal Legitimate Activity,0
2685.07,0,1,2.59,0,Normal Legitimate Activity,0
3016.42,0,1,18.37,0,Normal Legitimate Activity,0
1005.22,0,5,1.97,0,Normal Legitimate Activity,0
399.13,1,2,9.44,0,Normal Legitimate Activity,0
220.0,0,0,6.26,0,Normal Legitimate Activity,0
2174.79,0,2,2.56,0,Normal Legitimate Activity,0
629.62,0,1,12.62,0,Normal Legitimate Activity,0
686.34,0,1,8.51,0,Normal Legitimate Activity,0
795.94,0,2,8.55,0,Normal Legitimate Activity,0
886.8,0,0,4.99,0,Normal Legitimate Activity,0
8155.02,0,2,7.64,0,Normal Legitimate Activity,0
2921.94,0,2,21.99,0,Normal Legitimate Activity,0
14673.84,0,1,0.07,0,Normal Legitimate Activity,0
1005.54,0,2,2.24,0,Normal Legitimate Activity,0
1250.94,0,3,6.18,0,Normal Legitimate Activity,0
423.02,1,3,4.04,0,Normal Legitimate Activity,0
1046.18,0,3,1.21,0,Normal Legitimate Activity,0
1158.67,0,2,0.42,0,Normal Legitimate Activity,0
985.0,0,1,2.1,0,Normal Legitimate Activity,0
986.86,0,6,5.96,0,Normal Legitimate Activity,0
1977.98,0,1,2.92,0,Normal Legitimate Activity,0
1247.84,0,4,1.1,0,Normal Legitimate Activity,0
225.18,0,2,3.71,0,Normal Legitimate Activity,0
333.02,1,1,3.99,0,Normal Legitimate Activity,0
3475.86,6,27,5.89,1,T0_106: One Source to Multiple Intermediaries,1
30331.65,2,9,52.49,0,T2_133: Beneficiary Reappearance,1
2280.6,0,1,0.75,0,Normal Legitimate Activity,0
5546.81,0,3,1.44,0,Normal Legitimate Activity,0
241.9,0,1,5.34,0,Normal Legitimate Activity,0
393.12,1,3,5.0,0,Normal Legitimate Activity,0
168.33,0,2,2.16,0,Normal Legitimate Activity,0
712.34,0,5,3.85,0,Normal Legitimate Activity,0
1273.88,0,2,3.5,0,Normal Legitimate Activity,0
845.77,0,2,0.65,0,Normal Legitimate Activity,0
2782.53,0,2,0.61,0,Normal Legitimate Activity,0
5449.35,0,4,10.26,0,Normal Legitimate Activity,0
734.0,0,2,7.09,0,Normal Legitimate Activity,0
1718.95,0,3,0.33,0,Normal Legitimate Activity,0
551.31,0,1,0.83,0,Normal Legitimate Activity,0
582.45,0,1,7.59,0,Normal Legitimate Activity,0
472.9,0,1,1.9,0,Normal Legitimate Activity,0
598.28,0,4,11.26,1,Normal Legitimate Activity,0
738.24,0,1,1.36,0,Normal Legitimate Activity,0
1004.9,1,2,1.43,0,Normal Legitimate Activity,0
1391.92,0,0,1.84,0,Normal Legitimate Activity,0
2687.38,1,2,28.37,0,Normal Legitimate Activity,0
635.81,0,0,8.31,0,Normal Legitimate Activity,0
1165.82,0,2,1.34,0,Normal Legitimate Activity,0
919.27,0,1,7.04,0,Normal Legitimate Activity,0
735.09,0,3,7.16,0,Normal Legitimate Activity,0
335.3,0,3,1.19,0,Normal Legitimate Activity,0
846.82,0,2,6.1,0,Normal Legitimate Activity,0
1111.77,0,3,27.33,0,Normal Legitimate Activity,0
632.07,0,1,0.35,0,Normal Legitimate Activity,0
351.65,0,1,5.74,0,Normal Legitimate Activity,0
311.03,1,6,9.32,0,Normal Legitimate Activity,0
685.02,0,2,7.12,0,Normal Legitimate Activity,0
284.54,1,2,6.58,0,Normal Legitimate Activity,0
762.05,1,4,8.94,0,Normal Legitimate Activity,0
1071.54,0,2,2.71,0,Normal Legitimate Activity,0
108553.2,7,13,56.71,1,T2_112: Holiday Activity Anomaly,1
651.75,0,2,4.4,0,Normal Legitimate Activity,0
552.6,0,1,7.63,0,Normal Legitimate Activity,0
1774.1,0,2,2.97,0,Normal Legitimate Activity,0
843.41,0,1,6.13,0,Normal Legitimate Activity,0
691.18,0,3,3.02,0,Normal Legitimate Activity,0
705.95,0,1,1.91,0,Normal Legitimate Activity,0
1090.91,0,2,2.86,0,Normal Legitimate Activity,0
5746.13,0,2,1.91,0,Normal Legitimate Activity,0
666.19,0,2,14.0,0,Normal Legitimate Activity,0
21904.98,3,9,57.4,1,T2_138: Multiple Small Inputs to One Output,1
4504.47,0,2,6.75,0,Normal Legitimate Activity,0
1110.73,0,0,3.24,0,Normal Legitimate Activity,0
1028.43,0,0,5.61,0,Normal Legitimate Activity,0
408.45,0,3,3.25,0,Normal Legitimate Activity,0
837.63,0,2,5.37,0,Normal Legitimate Activity,0
1964.37,0,1,1.14,0,Normal Legitimate Activity,0
9833.72,1,3,3.69,0,Normal Legitimate Activity,0
1497.56,0,3,2.36,0,Normal Legitimate Activity,0
724.72,0,3,0.59,0,Normal Legitimate Activity,0
1301.98,0,2,8.28,0,Normal Legitimate Activity,0
999.83,0,2,3.05,0,Normal Legitimate Activity,0
2140.48,0,2,2.19,0,Normal Legitimate Activity,0
2414.31,0,6,7.88,0,Normal Legitimate Activity,0
994.27,0,1,2.03,0,Normal Legitimate Activity,0
1134.68,0,1,2.11,0,Normal Legitimate Activity,0
955.36,1,2,2.37,0,Normal Legitimate Activity,0
355.23,0,3,6.36,0,Normal Legitimate Activity,0
3001.03,0,3,2.2,0,Normal Legitimate Activity,0
524.48,0,3,3.04,0,Normal Legitimate Activity,0
366330.47,5,22,168.58,1,T2_144: Delayed Pass-Through,1
996.82,0,3,4.14,0,Normal Legitimate Activity,0
1707.22,0,0,5.43,0,Normal Legitimate Activity,0
1579.43,0,1,6.08,0,Normal Legitimate Activity,0
1865.75,0,3,5.41,0,Normal Legitimate Activity,0
1888.54,0,3,6.75,0,Normal Legitimate Activity,0
3802.64,0,2,3.31,0,Normal Legitimate Activity,0
1485.71,1,3,1.58,0,Normal Legitimate Activity,0
1725.61,0,2,7.08,0,Normal Legitimate Activity,0
4023.09,0,1,0.41,0,Normal Legitimate Activity,0
8720.59,0,1,0.37,0,Normal Legitimate Activity,0
362.75,0,2,1.55,0,Normal Legitimate Activity,0
6006.23,3,12,13.32,1,T0_37: Device Association,1
2519.21,0,6,14.98,0,Normal Legitimate Activity,0
1067.73,0,1,28.75,0,Normal Legitimate Activity,0
1269.29,0,1,10.61,0,Normal Legitimate Activity,0
530.63,0,3,4.89,0,Normal Legitimate Activity,0
1212.55,0,2,0.22,0,Normal Legitimate Activity,0
923.67,0,1,0.43,0,Normal Legitimate Activity,0
2025.38,0,0,0.42,0,Normal Legitimate Activity,0
1418.42,0,1,0.29,0,Normal Legitimate Activity,0
581.86,0,1,5.08,0,Normal Legitimate Activity,0
1320.19,1,4,0.76,0,Normal Legitimate Activity,0
1301.39,0,3,3.36,0,Normal Legitimate Activity,0
13518.92,0,3,13.1,0,Normal Legitimate Activity,0
1181.47,0,3,4.78,0,Normal Legitimate Activity,0
1395.0,0,1,1.64,0,Normal Legitimate Activity,0
1351.08,0,1,6.6,0,Normal Legitimate Activity,0
4355.15,0,2,7.96,0,Normal Legitimate Activity,0
1122.15,0,0,3.3,0,Normal Legitimate Activity,0
5868.67,0,0,5.41,0,Normal Legitimate Activity,0
1149.38,0,3,8.27,0,Normal Legitimate Activity,0
2548.89,0,3,3.29,0,Normal Legitimate Activity,0
1839.96,0,0,2.79,0,Normal Legitimate Activity,0
1777.62,0,4,2.68,0,Normal Legitimate Activity,0
1986.01,0,2,9.86,0,Normal Legitimate Activity,0
1714.89,0,1,7.86,0,Normal Legitimate Activity,0
490.03,1,4,6.54,0,Normal Legitimate Activity,0
905.59,0,3,0.82,0,Normal Legitimate Activity,0
2469.35,0,1,9.43,0,Normal Legitimate Activity,0
739.34,0,2,8.95,0,Normal Legitimate Activity,0
662.01,0,2,0.38,0,Normal Legitimate Activity,0
1027.75,0,1,4.81,0,Normal Legitimate Activity,0
1579.25,0,3,6.93,0,Normal Legitimate Activity,0
1091.38,0,1,4.17,0,Normal Legitimate Activity,0
3194.79,0,1,2.16,0,Normal Legitimate Activity,0
710.56,0,4,24.71,0,Normal Legitimate Activity,0
1878.33,0,2,9.87,0,Normal Legitimate Activity,0
3069.73,0,2,2.35,0,Normal Legitimate Activity,0
4191.25,0,0,2.28,0,Normal Legitimate Activity,0
2328.06,0,3,10.37,0,Normal Legitimate Activity,0
3209.61,0,1,2.39,1,Normal Legitimate Activity,0
2748.66,0,5,23.08,0,Normal Legitimate Activity,0
1600.21,0,3,5.62,0,Normal Legitimate Activity,0
841.69,0,0,2.86,0,Normal Legitimate Activity,0
3296.68,0,3,3.42,0,Normal Legitimate Activity,0
926.38,0,1,4.27,0,Normal Legitimate Activity,0
2901.97,1,1,10.44,0,Normal Legitimate Activity,0
1493.61,0,2,2.52,0,Normal Legitimate Activity,0
546.75,0,1,1.01,0,Normal Legitimate Activity,0
2456.84,0,1,1.88,0,Normal Legitimate Activity,0
2485.74,0,2,0.57,0,Normal Legitimate Activity,0
4151.05,0,3,2.74,1,Normal Legitimate Activity,0
2891.46,0,3,0.57,0,Normal Legitimate Activity,0
2883.27,0,2,4.75,0,Normal Legitimate Activity,0
650.93,0,4,1.59,0,Normal Legitimate Activity,0
1051.04,0,3,4.47,0,Normal Legitimate Activity,0
720.18,0,1,2.97,0,Normal Legitimate Activity,0
1513.9,0,3,1.44,0,Normal Legitimate Activity,0
1812.95,0,3,6.26,0,Normal Legitimate Activity,0
2742.84,0,2,3.02,0,Normal Legitimate Activity,0
4431.05,0,2,4.25,0,Normal Legitimate Activity,0
806.75,0,2,17.99,0,Normal Legitimate Activity,0
360.03,0,2,8.88,0,Normal Legitimate Activity,0
1109.12,0,1,6.31,0,Normal Legitimate Activity,0
948.64,0,3,2.97,0,Normal Legitimate Activity,0
2972.58,0,2,20.03,0,Normal Legitimate Activity,0
926.61,0,2,1.68,0,Normal Legitimate Activity,0
206.48,0,5,9.87,0,Normal Legitimate Activity,0
3081.26,0,0,21.49,0,Normal Legitimate Activity,0
277.2,0,3,3.11,0,Normal Legitimate Activity,0
877.36,0,2,9.22,0,Normal Legitimate Activity,0
1050.42,0,2,1.19,0,Normal Legitimate Activity,0
278.16,0,0,8.01,0,Normal Legitimate Activity,0
5315.92,0,2,6.7,0,Normal Legitimate Activity,0
187.52,0,3,6.69,0,Normal Legitimate Activity,0
338.22,0,0,1.48,0,Normal Legitimate Activity,0
4699.14,0,2,10.19,0,Normal Legitimate Activity,0
1808.5,0,3,1.37,0,Normal Legitimate Activity,0
1197.06,0,2,3.37,0,Normal Legitimate Activity,0
1274.58,0,0,1.96,0,Normal Legitimate Activity,0
818.72,0,3,10.72,0,Normal Legitimate Activity,0
1146.69,0,2,1.28,0,Normal Legitimate Activity,0
337.49,1,2,24.15,0,Normal Legitimate Activity,0
400.56,0,2,0.92,0,Normal Legitimate Activity,0
3993.65,0,2,5.6,0,Normal Legitimate Activity,0
526.47,0,1,8.13,0,Normal Legitimate Activity,0
3629.24,0,1,2.45,0,Normal Legitimate Activity,0
1116.55,0,0,5.46,0,Normal Legitimate Activity,0
479.97,0,5,6.54,0,Normal Legitimate Activity,0
994.47,0,2,0.04,0,Normal Legitimate Activity,0
1182.49,0,2,0.51,0,Normal Legitimate Activity,0
4979.96,0,0,3.94,0,Normal Legitimate Activity,0
1501.01,0,2,0.7,0,Normal Legitimate Activity,0
2097.3,0,0,7.66,0,Normal Legitimate Activity,0
878.23,0,2,3.29,0,Normal Legitimate Activity,0
4514.55,0,0,0.36,0,Normal Legitimate Activity,0
1261.49,0,5,3.7,0,Normal Legitimate Activity,0
803.72,0,1,7.17,0,Normal Legitimate Activity,0
2094.8,0,0,15.65,0,Normal Legitimate Activity,0
335.27,0,4,1.87,0,Normal Legitimate Activity,0
4839.75,0,0,0.77,0,Normal Legitimate Activity,0
771.84,1,3,3.85,0,Normal Legitimate Activity,0
779.41,0,1,9.11,0,Normal Legitimate Activity,0
1521.12,0,0,9.84,0,Normal Legitimate Activity,0
395.98,0,3,1.52,0,Normal Legitimate Activity,0
914.57,0,6,2.93,0,Normal Legitimate Activity,0
669.38,0,2,0.05,1,Normal Legitimate Activity,0
323.84,0,5,0.66,0,Normal Legitimate Activity,0
3036.71,0,2,0.5,0,Normal Legitimate Activity,0
1613.56,0,0,1.18,0,Normal Legitimate Activity,0
593.86,0,2,13.69,1,Normal Legitimate Activity,0
62.41,0,1,3.28,0,Normal Legitimate Activity,0
2898.53,0,2,0.02,0,Normal Legitimate Activity,0
5304.2,2,6,3.49,0,Normal Legitimate Activity,0
1264.31,0,3,2.28,0,Normal Legitimate Activity,0
1666.32,0,1,8.25,0,Normal Legitimate Activity,0
230.14,0,1,3.39,0,Normal Legitimate Activity,0
1525.86,0,2,6.8,0,Normal Legitimate Activity,0
2302.38,0,2,2.17,0,Normal Legitimate Activity,0
1284.48,0,4,3.11,0,Normal Legitimate Activity,0
439.13,0,4,1.64,0,Normal Legitimate Activity,0
1646.74,0,1,5.22,0,Normal Legitimate Activity,0
454.15,0,0,5.81,0,Normal Legitimate Activity,0
162.12,0,0,0.15,0,Normal Legitimate Activity,0
404.16,0,1,41.99,0,Normal Legitimate Activity,0
1565.76,0,1,8.35,0,Normal Legitimate Activity,0
703.52,0,0,0.43,0,Normal Legitimate Activity,0
644.7,0,2,19.13,0,Normal Legitimate Activity,0
6882.11,0,3,2.87,0,Normal Legitimate Activity,0
1110.27,0,1,14.1,0,Normal Legitimate Activity,0
1860.84,0,1,1.99,0,Normal Legitimate Activity,0
589.71,0,0,1.18,0,Normal Legitimate Activity,0
767.16,0,1,7.27,0,Normal Legitimate Activity,0
1305.24,0,1,5.85,0,Normal Legitimate Activity,0
3499.32,0,4,2.65,0,Normal Legitimate Activity,0
1687.96,0,1,3.65,0,Normal Legitimate Activity,0
927.36,3,13,2111.74,1,T0_36: Geographic Anomaly,1
1036.51,1,3,0.08,0,Normal Legitimate Activity,0
7627.85,0,1,0.03,0,Normal Legitimate Activity,0
885.66,0,5,4.13,0,Normal Legitimate Activity,0
348.0,0,3,0.26,0,Normal Legitimate Activity,0
2354.27,0,1,5.0,0,Normal Legitimate Activity,0
4979.07,1,2,1.77,0,Normal Legitimate Activity,0
3514.49,0,0,0.74,0,Normal Legitimate Activity,0
265.05,0,5,10.19,0,Normal Legitimate Activity,0
732.44,1,5,21.43,0,Normal Legitimate Activity,0
578.42,0,0,4.56,0,Normal Legitimate Activity,0
622.32,0,3,5.59,0,Normal Legitimate Activity,0
4320.61,0,1,0.61,0,Normal Legitimate Activity,0
6033.82,0,4,1.71,0,Normal Legitimate Activity,0
952.01,0,2,1.98,0,Normal Legitimate Activity,0
1024.06,0,3,6.51,0,Normal Legitimate Activity,0
1550.69,0,2,0.17,0,Normal Legitimate Activity,0
1066.25,0,3,2.58,0,Normal Legitimate Activity,0
622.62,0,3,4.98,0,Normal Legitimate Activity,0
1720.24,0,4,2.82,0,Normal Legitimate Activity,0
436.89,0,1,12.21,0,Normal Legitimate Activity,0
539.54,0,1,10.8,0,Normal Legitimate Activity,0
781.45,0,0,1.25,0,Normal Legitimate Activity,0
3929.1,0,1,1.43,0,Normal Legitimate Activity,0
4966.67,0,2,5.4,0,Normal Legitimate Activity,0
2778.94,0,1,0.02,0,Normal Legitimate Activity,0
269.95,0,1,7.15,0,Normal Legitimate Activity,0
1319.05,0,1,0.79,0,Normal Legitimate Activity,0
1421.15,0,3,4.16,0,Normal Legitimate Activity,0
1678.83,0,1,8.48,0,Normal Legitimate Activity,0
362.66,0,2,3.75,0,Normal Legitimate Activity,0
741.13,0,0,2.73,0,Normal Legitimate Activity,0
1277.64,0,2,0.35,0,Normal Legitimate Activity,0
2244.07,0,2,1.48,0,Normal Legitimate Activity,0
907.63,0,0,0.4,0,Normal Legitimate Activity,0
1986.41,0,2,5.92,0,Normal Legitimate Activity,0
28712.4,4,25,22.0,0,T2_107: Temporary Receiver,1
417.1,0,2,2.98,0,Normal Legitimate Activity,0
680.52,0,1,5.43,0,Normal Legitimate Activity,0
1096.5,0,3,1.53,0,Normal Legitimate Activity,0
637.47,1,2,8.96,0,Normal Legitimate Activity,0
1783.25,0,5,6.63,0,Normal Legitimate Activity,0
736.12,0,0,9.55,0,Normal Legitimate Activity,0
420.64,0,1,0.2,0,Normal Legitimate Activity,0
452.31,0,2,7.65,0,Normal Legitimate Activity,0
1498.86,0,1,1.38,0,Normal Legitimate Activity,0
2232.65,0,1,2.74,0,Normal Legitimate Activity,0
432.98,0,1,6.46,0,Normal Legitimate Activity,0
3116.76,1,3,3.75,0,Normal Legitimate Activity,0
264.59,0,0,0.85,1,Normal Legitimate Activity,0
1124.9,0,3,2.68,0,Normal Legitimate Activity,0
777.77,0,3,6.16,0,Normal Legitimate Activity,0
1477.18,0,2,4.14,0,Normal Legitimate Activity,0
888.82,0,1,0.12,0,Normal Legitimate Activity,0
288.05,0,1,4.63,0,Normal Legitimate Activity,0
1525.97,0,2,2.45,0,Normal Legitimate Activity,0
998.72,0,1,13.43,0,Normal Legitimate Activity,0
574.29,0,1,1.48,0,Normal Legitimate Activity,0
1519.37,0,8,4.33,0,Normal Legitimate Activity,0
604.84,0,3,8.74,0,Normal Legitimate Activity,0
1521.47,0,6,6.32,0,Normal Legitimate Activity,0
3523.28,1,2,21.9,0,Normal Legitimate Activity,0
2222.7,0,0,0.99,0,Normal Legitimate Activity,0
3667.38,0,1,2.63,0,Normal Legitimate Activity,0
3104.35,0,3,9.33,0,Normal Legitimate Activity,0
50000.0,4,16,0.64,1,T2_156: Alternating Transaction Sequence,1
2217.63,5,15,0.15,0,"T2_127: Same Beneficiary, Multiple Channels",1
1384.01,0,1,11.89,0,Normal Legitimate Activity,0
4114.14,0,1,11.96,0,Normal Legitimate Activity,0
1209.59,0,3,2.52,0,Normal Legitimate Activity,0
227.04,0,2,2.43,0,Normal Legitimate Activity,0
659.75,0,0,0.25,0,Normal Legitimate Activity,0
1040.06,0,1,2.24,0,Normal Legitimate Activity,0
207.79,0,1,7.57,0,Normal Legitimate Activity,0
72.33,0,1,14.23,0,Normal Legitimate Activity,0
2553.42,0,1,10.41,0,Normal Legitimate Activity,0
1121.25,0,2,6.12,0,Normal Legitimate Activity,0
1300.93,0,2,6.85,0,Normal Legitimate Activity,0
2472.96,0,2,6.98,0,Normal Legitimate Activity,0
1109.13,0,1,0.22,0,Normal Legitimate Activity,0
1586.66,0,1,1.48,0,Normal Legitimate Activity,0
516.52,1,2,9.69,0,Normal Legitimate Activity,0
1543.36,0,1,2.9,0,Normal Legitimate Activity,0
999.77,0,1,12.99,0,Normal Legitimate Activity,0
219.6,0,4,1.11,0,Normal Legitimate Activity,0
4167.65,0,3,13.27,0,Normal Legitimate Activity,0
561.19,0,0,6.9,0,Normal Legitimate Activity,0
172.28,0,2,0.11,0,Normal Legitimate Activity,0
4206.95,0,3,6.58,0,Normal Legitimate Activity,0
1024.79,0,1,0.18,0,Normal Legitimate Activity,0
4248.2,0,1,0.66,0,Normal Legitimate Activity,0
948.69,0,4,2.56,0,Normal Legitimate Activity,0
4507.39,0,1,8.68,0,Normal Legitimate Activity,0
453.58,0,5,6.45,0,Normal Legitimate Activity,0
4239.54,0,0,2.31,0,Normal Legitimate Activity,0
6463.35,0,3,6.02,1,Normal Legitimate Activity,0
1761.14,0,3,5.99,0,Normal Legitimate Activity,0
3018.48,0,4,0.39,0,Normal Legitimate Activity,0
1328.67,0,2,0.14,0,Normal Legitimate Activity,0
1016.32,0,2,7.88,0,Normal Legitimate Activity,0
2333.36,0,1,3.05,0,Normal Legitimate Activity,0
80596.11,10,44,3.25,0,T0_108: Rapid Recipient Switching,1
1152.67,0,2,20.83,0,Normal Legitimate Activity,0
8203.79,4,20,10.81,1,T2_153: Cross-Account Timing Synchronization,1
5774.02,0,1,4.56,0,Normal Legitimate Activity,0
1967.97,0,3,2.46,0,Normal Legitimate Activity,0
4219.36,0,4,0.15,0,Normal Legitimate Activity,0
336.62,0,1,11.12,0,Normal Legitimate Activity,0
